id,rawTweet,cleanedTweet,label
1,"tepat setahun putin invasi ukraina, bagaimana rusia kini? ",tahun putin invasi ukraina rusia,positif
2,"jelang peringatan setahun invasi rusia ke ukraina, putin umumkan rudal nuklir dikerahkan tahun ini
 
 via @tribunnews",jelang ingat tahun invasi rusia ukraina putin umum rudal nuklir kerah via tribunnews,positif
3,ukraina luncurkan uang kertas untuk memperingati invasi rusia  #invasirusiakeukraina #matauang #uangkertas #ukraina ,ukraina luncur uang kertas ingat invasi rusia invasirusiakeukraina matauang uangkertas ukraina,positif
4,"1 tahun invasi, pbb serukan rusia segera angkat kaki dari ukraina ",invasi pbb seru rusia angkat kaki ukraina,positif
5,bank sentral ukraina meluncurkan desain uang kertas baru versi peringatan setahun invasi rusia. desain baru itu dicetak di pecahan mata uang 20 hryvnia. ,bank sentral ukraina luncur desain uang kertas versi ingat tahun invasi rusia desain cetak pecah mata uang hryvnia,positif
6,memeringati 1 tahun invasi rusia ke ukraina,ingat invasi rusia ukraina,positif
7,desain baru uang kertas ukraina versi peringatan setahun invasi rusia ,desain uang kertas ukraina versi ingat tahun invasi rusia,positif
8,"ukraina luncurkan uang kertas untuk memperingati invasi rusia

 #sindonews #bukanberitabiasa .",ukraina luncur uang kertas ingat invasi rusia sindonews bukanberitabiasa,positif
9,"setahun invasi rusia, ukraina rilis uang baru, ada gambar bendera as hingga uni eropa  ",tahun invasi rusia ukraina rilis uang gambar bendera as uni eropa,positif
10,tema peringatan setahun invasi rusia ke ukraina dicetak di pecahan mata uang 20 hryvnia. ,tema ingat tahun invasi rusia ukraina cetak pecah mata uang hryvnia,positif
11,"satu tahun invasi rusia ke ukraina, 802 layanan kesehatan hancur  ",invasi rusia ukraina layan sehat hancur,positif
