"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1605033322933284865","Tue Dec 20 02:52:18 +0000 2022","5701","Air danau Baikal Russia mengandung Mars Gas yg senyawa utamanya adalah Metana. Saat air danau dalam keadaan cair gas ini dilepas ke udara sehingga tdk berbahaya. Tapi selama musim dingin gas ini terjebak dan terakumulasi tepat di bawah permukaan air danau yg membeku. https://t.co/0qnpPEGqam","1605033322933284865","https://pbs.twimg.com/ext_tw_video_thumb/1605033273008144385/pu/img/9E8iArUaIHSyiUMQ.jpg","","in","","45","77","1030","https://x.com/undefined/status/1605033322933284865","3153027710",
"1598968441033359360","Sat Dec 03 09:12:38 +0000 2022","382","Militer wanita Rusia Kuat Tangguh dan Terlatih. https://t.co/hdupEgFGF4","1598968441033359360","https://pbs.twimg.com/ext_tw_video_thumb/1598968348259528705/pu/img/2aBgi0o9QcE7TmTk.jpg","","in","","5","25","37","https://x.com/undefined/status/1598968441033359360","1508855983656751107",
"1627068375917817860","Sat Feb 18 22:11:44 +0000 2023","7132","Discussed with @sandumaiamd how Russia s aim is to destabilise our societies. In addition to conventional war Russia continues to wage hybrid and information war. It s all the more important to support countries like #Moldova become more resilient as they continue on EU path. https://t.co/KWl1NvEmXn","1627068375917817860","https://pbs.twimg.com/media/FpSCAOgagAADqRW.jpg","","en","","70","301","828","https://x.com/undefined/status/1627068375917817860","68964628",
"1598538579902623744","Fri Dec 02 04:44:31 +0000 2022","4886","Jum'at 08 Jumadil Ula 1444 H / 02 Desember 2022 M) dalam Safari Dakwah Buya Yahya di Provinsi Riau Buya bersilaturahmi ke rumah Ustadz Abdul Somad (UAS). Mari kita doakan semoga guru kita Buya Yahya dan UAS selalu diberikan kesehatan dan selalu dalam lindungan Allah SWT️ https://t.co/SK349rCR1u","1598538579902623744","https://pbs.twimg.com/ext_tw_video_thumb/1598538485215817728/pu/img/pY8wdtS0NrY-Bm0G.jpg","","in","","28","128","771","https://x.com/undefined/status/1598538579902623744","1705801356",
"1598521902766903296","Fri Dec 02 03:38:15 +0000 2022","208","Rekaman peluncuran uji coba rudal baru dari sistem pertahanan rudal Rusia di Sary-Shagan. https://t.co/AF6ngeu1Zo","1598521902766903296","https://pbs.twimg.com/ext_tw_video_thumb/1598521826619297799/pu/img/GpZPjYq3uxWshDtx.jpg","","in","","2","5","33","https://x.com/undefined/status/1598521902766903296","497234852",
"1597214426129928192","Mon Nov 28 13:02:48 +0000 2022","1209","Presiden Asosiasi Sepak Bola Rusia Alexander Dyukov dilaporkan sedang mempertimbangkan untuk mengubah konfederasi dan meninggalkan UEFA untuk bergabung dengan Konfederasi Sepak Bola Asia (AFC). #Russia #AFC https://t.co/zppt6lqQev","1597214426129928192","https://pbs.twimg.com/media/FipuWIZVEAAvKs4.jpg","","in","","68","134","154","https://x.com/undefined/status/1597214426129928192","193203542",
"1604514282607034368","Sun Dec 18 16:29:50 +0000 2022","186","Rusija je država-krinž ‍️ Kult rata kult vodje kult smrti. Kad me pitaju ima li Rosija budućnost posle Putina ja uvek govorim - ne u neko skorije vreme. Jer su već najmanji otrovani ovim sranjem. https://t.co/bBWo9zVkth","1604514282607034368","https://pbs.twimg.com/ext_tw_video_thumb/1604514245118394368/pu/img/1UvW-rK9we9aHu8E.jpg","","und","","4","60","7","https://x.com/undefined/status/1604514282607034368","1498601987578998785",
"1596143723074662406","Fri Nov 25 14:08:13 +0000 2022","10925","Parlemen Rusia Loloskan RUU Anti-LGBT Pelanggar Bisa Didenda Rp1 M https://t.co/k1jFhnu0Nm","1596143723074662406","","","in","","319","431","1645","https://x.com/undefined/status/1596143723074662406","17128975",
"1628252916644712448","Wed Feb 22 04:45:38 +0000 2023","3","Cerita Bu Mega saat beliau jadi President . Rusia paling kuat dan China masih dalam proses seperti Indonesia . Tak mgkn Penjajah beri senjata dong ke tanah yang mau mereka jajah kira2 begitulah . Semoga Ramalan Nostradamus bs di tepis Prabu Jayabaya. https://t.co/tVbXNvR6Ns","1628254664927088641","https://pbs.twimg.com/ext_tw_video_thumb/1628254007067299841/pu/img/xMX1mCdFkrc7tMdi.jpg","balaputra_deva","in","","0","0","0","https://x.com/undefined/status/1628254664927088641","1284754481192726528",
"1607166995665137669","Mon Dec 26 00:10:46 +0000 2022","2262","🇷🇺 Di dekat Moskow Rusia terdapat sebuah desa Muslim memiliki suhu di bawah 30 derajat dibawah nol ... Umat Islam di desa itu tidak meninggalkan shalat Jumat di masjid! Alhamdulillah ... MaSyaa Allah Tabarakallah ... semoga istiqamah &amp; Allah mengangkat derajat mereka. https://t.co/Pkd5BPJqGi","1607166995665137669","https://pbs.twimg.com/ext_tw_video_thumb/1607166658623463424/pu/img/iHZ-BAIWffvLjUcD.jpg","","in","","16","52","465","https://x.com/undefined/status/1607166995665137669","1221303175518420998",
