,Datetime,Tweet Id,Text,Username
0,2023-02-23 23:46:07+00:00,1628904064284065792,"Tepat Setahun Putin Invasi Ukraina, Bagaimana Rusia Kini? https://t.co/DIEhdORmPj",CNNIndonesia
1,2023-02-23 23:45:24+00:00,1628903887108288512,"Jelang Peringatan Setahun Invasi Rusia ke Ukraina, Putin Umumkan Rudal Nuklir Dikerahkan Tahun Ini
 
https://t.co/QRhZ0CRNdY via @tribunnews",tribunnews
2,2023-02-23 23:43:38+00:00,1628903440637390848,"Jelang Peringatan Setahun Invasi Rusia ke Ukraina, Putin Umumkan Rudal Nuklir Dikerahkan Tahun Ini
 
https://t.co/QRhZ0CSl3w via @tribunnews",tribunnews
3,2023-02-23 23:07:11+00:00,1628894268713766912,Ukraina Luncurkan Uang Kertas untuk Memperingati Invasi Rusia https://t.co/4zaOAnwMIF #InvasiRusiakeUkraina #MataUang #UangKertas #Ukraina https://t.co/ZuqNdCwwOp,Beritabaruco
4,2023-02-23 22:56:35+00:00,1628891598288453633,"1 Tahun Invasi, PBB Serukan Rusia Segera Angkat Kaki dari Ukraina https://t.co/WMdkTcIlej",21BeritaTerkini
5,2023-02-23 21:04:24+00:00,1628863368441257989,Bank Sentral Ukraina meluncurkan desain uang kertas baru versi peringatan setahun invasi Rusia. Desain baru itu dicetak di pecahan mata uang 20 hryvnia. https://t.co/jAZgvRvAtB,detikfinance
6,2023-02-23 20:47:25+00:00,1628859096417046528,Memeringati 1 tahun invasi Rusia ke Ukraina,salazarlisterin
7,2023-02-23 20:37:12+00:00,1628856523806875648,Desain Baru Uang Kertas Ukraina Versi Peringatan Setahun Invasi Rusia https://t.co/9GY54XOpaH,20detik
8,2023-02-23 19:11:49+00:00,1628835035347288068,"Ukraina Luncurkan Uang Kertas untuk Memperingati Invasi Rusia

 #Sindonews #BukanBeritaBiasa .https://t.co/Jltrarn338",ricko_liquid
9,2023-02-23 18:53:47+00:00,1628830498914201600,"Ukraina Luncurkan Uang Kertas untuk Memperingati Invasi Rusia

 #Sindonews #BukanBeritaBiasa .https://t.co/NLvjOU2KDn",SINDOnews
10,2023-02-23 17:21:43+00:00,1628807329562136576,"Setahun Invasi Rusia, Ukraina Rilis Uang Baru, Ada Gambar Bendera AS hingga Uni Eropa https://t.co/KV4DmJFArM https://t.co/6PlYwGOvAm",Jualbajumuslimm
11,2023-02-23 17:10:33+00:00,1628804519269384193,"Setahun Invasi Rusia, Ukraina Rilis Uang Baru, Ada Gambar Bendera AS hingga Uni Eropa https://t.co/2QQKLdVKvb",merdekadotcom
12,2023-02-23 16:46:02+00:00,1628798349938941953,Tema peringatan setahun invasi Rusia ke Ukraina dicetak di pecahan mata uang 20 hryvnia. https://t.co/ZoNcmBGwqT,kompascom
13,2023-02-23 15:19:46+00:00,1628776637771968513,"Satu Tahun Invasi Rusia ke Ukraina, 802 Layanan Kesehatan Hancur https://t.co/736IsmCFTy https://t.co/fvJSKZkKlM",requisitoire
14,2023-02-23 14:57:26+00:00,1628771017404588033,"Satu-satunya tujuan lain yang dapat ia pikirkan adalah menghancurkan Bolshevisme. Oleh karena itu, ia memulai invasi ke Rusia, dan dengan demikian membawa aliansi antara Bolshevisme dan Kekuatan Barat. Sekarang, dua gerakan ini berada di satu sisi dan kaum Sosialis Nasional",ilbasugih
15,2023-02-23 14:55:32+00:00,1628770542080917505,"Bank sentral Ukraina memperkenalkan uang kertas baru pecahan 20 hryvnia (Rp8.278) untuk memperingati satu tahun invasi Rusia.

https://t.co/2pxuDKdNiF",antaranews
16,2023-02-23 14:39:19+00:00,1628766459651563521,"Menjelang peringatan dimulainya invasi Rusia, jalan di depan misi diplomatik Rusia di ibu kota Inggris dicat biru dan kuning.",bdleonanda
